EMPSTATUS,SEX_F,EDUC_LEVEL,MARITAL,RESIDENCE,AGE_GROUP,MINORITY,DISABLED,WTFINL
Employed,Female,Secondary,Single,Rural,41-64,1,No difficulty,2007.6536
Inactive,Female,Secondary,Married,Rural,41-64,1,No difficulty,2451.5418
Inactive,Male,Secondary,Married,Rural,41-64,1,No difficulty,2753.3031
Employed,Female,Secondary,Single,Rural,16-24,1,No difficulty,4510.5757
Employed,Male,Secondary,Married,Rural,25-35,0,No difficulty,2853.3993
Employed,Female,Secondary,Married,Rural,25-35,0,No difficulty,2481.7209
Unemployed,Male,Secondary,Married,Rural,41-64,0,No difficulty,2180.3888
Unemployed,Female,Primary,Married,Rural,41-64,0,No difficulty,1981.4048
Employed,Male,Secondary,Single,Rural,16-24,0,No difficulty,2991.9158
Employed,Female,Secondary,Single,Rural,36-40,0,No difficulty,2714.5805
Employed,Male,Secondary,Married,Rural,25-35,1,No difficulty,5520.7432
Employed,Female,Secondary,Married,Rural,25-35,1,No difficulty,6359.1999
Employed,Male,Secondary,Single,Rural,25-35,0,No difficulty,2900.2119
Employed,Male,Secondary,Single,Rural,16-24,1,No difficulty,3978.1855
Employed,Male,Primary,Married,Rural,41-64,0,No difficulty,2473.1195
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,2196.6637
Employed,Male,Higher,Married,Rural,41-64,0,No difficulty,2635.63
Employed,Female,Higher,Married,Rural,41-64,0,No difficulty,2082.5311
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,2220.5461
Employed,Male,Higher,Married,Rural,41-64,0,No difficulty,2329.3805
Inactive,Male,Secondary,Married,Rural,41-64,0,No difficulty,2180.3888
Inactive,Female,Secondary,Married,Rural,41-64,0,No difficulty,1981.4048
Employed,Female,Secondary,Single,Rural,36-40,0,No difficulty,2526.4705
Inactive,Female,Secondary,Single,Rural,41-64,0,No difficulty,2040.4107
Employed,Male,Primary,Single,Rural,36-40,1,No difficulty,4179.2231
Employed,Male,Secondary,Single,Rural,16-24,1,No difficulty,3978.1855
Employed,Male,Higher,Married,Rural,41-64,0,No difficulty,2473.1195
Inactive,Female,Secondary,Married,Rural,41-64,0,No difficulty,1981.4048
Employed,Male,Higher,Single,Rural,16-24,0,No difficulty,3186.5361
Employed,Male,Secondary,Single,Rural,16-24,0,No difficulty,3186.5361
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,2180.3888
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,2262.4598
Inactive,Female,Secondary,Single,Rural,41-64,1,No difficulty,2007.6536
Inactive,Male,Higher,Single,Rural,41-64,1,No difficulty,2742.2883
Employed,Male,Secondary,Single,Rural,25-35,0,No difficulty,2900.2119
Employed,Male,Secondary,Single,Rural,25-35,0,Disabled,2556.1134
Inactive,Female,Secondary,Single,Rural,25-35,0,No difficulty,2481.7209
Employed,Male,Secondary,Married,Rural,16-24,0,No difficulty,3186.5361
Employed,Female,Secondary,Married,Rural,16-24,0,No difficulty,3024.5554
Employed,Male,Primary,Married,Rural,41-64,1,No difficulty,2717.0091
Employed,Female,Primary,Married,Rural,41-64,1,No difficulty,2299.1822
Employed,Female,Secondary,Married,Rural,36-40,0,No difficulty,2526.4705
Employed,Male,Secondary,Married,Rural,25-35,0,No difficulty,2853.3993
Employed,Male,Primary,Single,Rural,41-64,0,No difficulty,2473.1195
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,1981.4048
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,2180.3888
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,1981.4048
Employed,Female,Higher,Single,Rural,16-24,0,No difficulty,3024.5554
Employed,Female,Higher,Married,Rural,36-40,0,No difficulty,2578.6248
Employed,Male,Higher,Married,Rural,41-64,0,No difficulty,2583.8277
Employed,Male,Secondary,Married,Rural,16-24,0,No difficulty,3186.5361
Employed,Female,Higher,Married,Rural,16-24,0,No difficulty,3024.5554
Employed,Male,Secondary,Married,Rural,16-24,1,No difficulty,3978.1855
Employed,Female,Secondary,Married,Rural,16-24,1,No difficulty,6207.0693
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,1981.4048
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,2289.7848
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,2196.6637
Employed,Female,Secondary,Single,Urban,41-64,0,No difficulty,2116.1834
Employed,Male,Secondary,Single,Urban,16-24,1,No difficulty,4060.3076
Employed,Male,Secondary,Single,Urban,36-40,0,No difficulty,2912.3024
Inactive,Female,Secondary,Single,Urban,41-64,0,Disabled,1938.2958
Employed,Male,Primary,Married,Urban,36-40,0,No difficulty,3388.6849
Inactive,Female,Primary,Married,Urban,36-40,0,No difficulty,2961.0602
Inactive,Male,Primary,Single,Urban,16-24,0,No difficulty,3178.7857
Employed,Male,Secondary,Single,Urban,41-64,1,No difficulty,3606.8898
Inactive,Female,Secondary,Single,Urban,16-24,1,No difficulty,4751.8216
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,2105.16
Employed,Male,Higher,Single,Urban,36-40,1,No difficulty,3649.3116
Inactive,Female,Primary,Married,Urban,41-64,0,No difficulty,2403.7692
Inactive,Male,Higher,Married,Urban,41-64,1,Disabled,2711.668
Employed,Female,Higher,Married,Urban,41-64,1,No difficulty,2116.7916
Inactive,Male,Secondary,Single,Urban,41-64,0,No difficulty,2657.2571
Employed,Female,Secondary,Single,Urban,41-64,1,No difficulty,2140.6945
Inactive,Male,Secondary,Single,Urban,25-35,1,No difficulty,4820.7314
Inactive,Female,Higher,Single,Urban,41-64,0,No difficulty,1960.1831
Employed,Female,Higher,Single,Urban,36-40,0,No difficulty,2607.7427
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,2613.0044
Inactive,Female,Primary,Single,Urban,41-64,0,No difficulty,2032.8968
Inactive,Male,Secondary,Married,Urban,41-64,0,No difficulty,2418.9198
Inactive,Female,Secondary,Married,Urban,41-64,0,Disabled,2242.0096
Employed,Male,Higher,Married,Urban,36-40,0,No difficulty,3031.6178
Inactive,Female,Higher,Married,Urban,36-40,0,No difficulty,2684.2696
Inactive,Female,Primary,Single,Urban,25-35,0,No difficulty,2666.4989
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,2017.7067
Employed,Female,Secondary,Married,Urban,41-64,1,No difficulty,3022.0693
Employed,Male,Higher,Single,Urban,25-35,1,No difficulty,2766.9491
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,2167.8512
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,2316.5721
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,3178.7857
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,2792.0438
