YEAR,MONTH,AGE,SEX,RACE,EDUC,EMPSTAT,WTFINL,MARST,METRO,DIFFANY
2023,3,45,2,200,73,10,2007.6536,6,1,1
2023,3,68,2,100,73,36,1734.4897,1,1,1
2023,3,70,1,100,73,32,1976.784,1,1,2
2023,3,57,2,200,73,34,2451.5418,1,1,1
2023,3,63,1,200,73,36,2753.3031,1,1,1
2023,3,18,2,200,73,10,4510.5757,6,1,1
2023,3,35,1,100,73,10,2853.3993,1,1,1
2023,3,30,2,100,73,10,2481.7209,1,1,1
2023,3,9,1,100,1,0,3421.5119,9,1,0
2023,3,6,2,100,1,0,2552.117,9,1,0
2023,3,66,2,100,92,36,1863.6322,1,1,1
2023,3,71,1,100,111,10,2123.9667,1,1,1
2023,3,72,1,100,73,36,1976.784,4,1,1
2023,3,45,1,100,73,21,2180.3888,1,1,1
2023,3,45,2,100,50,21,1981.4048,1,1,1
2023,3,19,1,100,73,10,2991.9158,6,1,1
2023,3,38,2,100,73,10,2714.5805,6,1,1
2023,3,29,1,200,81,10,5520.7432,1,1,1
2023,3,27,2,200,91,10,6359.1999,1,1,1
2023,3,0,2,200,1,0,11501.3115,9,1,0
2023,3,27,1,100,73,10,2900.2119,6,1,1
2023,3,20,1,200,73,10,3978.1855,6,1,1
2023,3,73,2,100,73,10,1580.5512,5,1,1
2023,3,85,2,100,60,36,1918.6831,5,1,2
2023,3,53,1,100,30,10,2473.1195,1,1,1
2023,3,55,2,100,73,10,2196.6637,1,1,1
2023,3,55,1,100,111,10,2635.63,1,1,1
2023,3,54,2,100,111,10,2082.5311,1,1,1
2023,3,72,2,100,124,36,1613.1787,5,1,1
2023,3,53,2,100,92,10,2220.5461,1,1,1
2023,3,59,1,100,111,10,2329.3805,1,1,1
2023,3,49,1,100,73,34,2180.3888,1,1,1
2023,3,49,2,100,73,34,1981.4048,1,1,1
2023,3,3,2,100,1,0,2841.27,9,1,0
2023,3,36,2,100,73,10,2526.4705,4,1,1
2023,3,11,2,100,1,0,2441.0256,9,1,0
