Variable,Category,EMPSTATUS,Share_pct
SEX_F,Female,Employed,67.72380195548062
SEX_F,Female,Inactive,30.057329297954556
SEX_F,Female,Unemployed,2.2188687465648225
SEX_F,Male,Employed,76.62513039403608
SEX_F,Male,Inactive,20.356655588800013
SEX_F,Male,Unemployed,3.0182140171639023
EDUC_LEVEL,Higher,Employed,84.80693313308613
EDUC_LEVEL,Higher,Inactive,13.375955771451942
EDUC_LEVEL,Higher,Unemployed,1.81711109546192
EDUC_LEVEL,None,Employed,53.226369410084146
EDUC_LEVEL,None,Inactive,43.49330662021581
EDUC_LEVEL,None,Unemployed,3.2803239697000373
EDUC_LEVEL,Primary,Employed,43.05359890397585
EDUC_LEVEL,Primary,Inactive,53.96436192952574
EDUC_LEVEL,Primary,Unemployed,2.9820391664984185
EDUC_LEVEL,Secondary,Employed,70.57708125570707
EDUC_LEVEL,Secondary,Inactive,26.34388573077098
EDUC_LEVEL,Secondary,Unemployed,3.0790330135219546
MARITAL,Married,Employed,78.47945019884529
MARITAL,Married,Inactive,19.908439881320525
MARITAL,Married,Unemployed,1.612109919834183
MARITAL,Single,Employed,66.27116278765652
MARITAL,Single,Inactive,30.17275086275752
MARITAL,Single,Unemployed,3.5560863495859585
RESIDENCE,Rural,Employed,68.25661377935407
RESIDENCE,Rural,Inactive,29.1656092621199
RESIDENCE,Rural,Unemployed,2.577776958526026
RESIDENCE,Urban,Employed,72.77688445192678
RESIDENCE,Urban,Inactive,24.59921425948962
RESIDENCE,Urban,Unemployed,2.623901288583616
AGE_GROUP,16-24,Employed,51.220411684661805
AGE_GROUP,16-24,Inactive,45.1759979159351
AGE_GROUP,16-24,Unemployed,3.6035903994030867
AGE_GROUP,25-35,Employed,80.9500763549466
AGE_GROUP,25-35,Inactive,15.787801146075736
AGE_GROUP,25-35,Unemployed,3.262122498977653
AGE_GROUP,36-40,Employed,82.2319909195156
AGE_GROUP,36-40,Inactive,15.316971365988437
AGE_GROUP,36-40,Unemployed,2.4510377144959596
AGE_GROUP,41-64,Employed,73.92282025941589
AGE_GROUP,41-64,Inactive,24.1393603010325
AGE_GROUP,41-64,Unemployed,1.9378194395516257
MINORITY,0,Employed,73.18110677194403
MINORITY,0,Inactive,24.380268470709076
MINORITY,0,Unemployed,2.4386247573468953
MINORITY,1,Employed,69.30821244471122
MINORITY,1,Inactive,27.57107818120355
MINORITY,1,Unemployed,3.120709374085226
DISABLED,Disabled,Employed,36.40426074143343
DISABLED,Disabled,Inactive,60.31374184888837
DISABLED,Disabled,Unemployed,3.281997409678206
DISABLED,No difficulty,Employed,75.11384919678378
DISABLED,No difficulty,Inactive,22.32328807467729
DISABLED,No difficulty,Unemployed,2.5628627285389283
