Statistic,Value,Value_pct
Employment rate (overall),0.9633034359023688,96.33034359023688
"Employment rate, low/medium education",0.9530554162169849,95.30554162169848
"Employment rate, high education",0.9783646784546736,97.83646784546735
"Employment rate, majority",0.9660978088228634,96.60978088228634
"Employment rate, minority",0.9543719179707497,95.43719179707497
"Employment rate, men",0.9597221333057083,95.97221333057084
"Employment rate, women",0.96737321631075,96.737321631075
"Employment rate, 35+",0.972399665004979,97.2399665004979
"Employment rate, young (16–34)",0.9467600398998883,94.67600398998883
Share high education,0.40491182987243984,40.49118298724398
Share minority,0.23830794229086602,23.830794229086603
Share women,0.46807786483306474,46.80778648330647
Share young (16–34),0.354772312985345,35.4772312985345
