Variable,Category,Employed,Inactive,Unemployed
AGE_GROUP,16-24,13.403700921287871,33.830376364364206,25.99734639410934
AGE_GROUP,25-35,26.341466439042392,14.70150324804638,29.26408079246751
AGE_GROUP,36-40,12.051878989474625,6.4239813051258565,9.903207680678006
AGE_GROUP,41-64,48.20295365019511,45.04413908246355,34.83536513274514
DISABLED,Disabled,3.843477661236534,18.222410608294236,9.55261587645028
DISABLED,No difficulty,96.15652233876345,81.77758939170576,90.44738412354971
EDUC_LEVEL,Higher,41.97877783695966,18.947009246236735,24.796583545929067
EDUC_LEVEL,None,0.4802425129158475,1.122984071612443,0.8159479057508532
EDUC_LEVEL,Primary,7.3320920096960345,26.29922209899698,14.000505759835177
EDUC_LEVEL,Secondary,50.20888764042846,53.63078458315385,60.386962788484894
MARITAL,Married,52.498167135778154,38.11034040934076,29.72999083335085
MARITAL,Single,47.50183286422184,61.88965959065926,70.27000916664915
MINORITY,0,74.79162584963501,71.30334354054635,68.70857081082274
MINORITY,1,25.208374150364985,28.696656459453642,31.29142918917726
RESIDENCE,Rural,12.81224884456595,15.66639563394221,13.339449250321612
RESIDENCE,Urban,87.18775115543406,84.33360436605778,86.66055074967838
SEX_F,Female,47.02741621897244,59.72794701932354,42.4769510518651
SEX_F,Male,52.97258378102757,40.27205298067648,57.52304894813489
